Threshold,Accuracy,Balanced_Accuracy,Sensitivity,Specificity,Precision,F1,Youden_J,TN,FP,FN,TP
0.5899999999999997,0.7392703862660944,0.6200737338707158,0.3876651982378855,0.8524822695035461,0.4583333333333333,0.4200477326968974,0.2401474677414317,601,104,139,88
0.5999999999999998,0.7446351931330472,0.6221264098478458,0.3832599118942731,0.8609929078014185,0.4702702702702703,0.4223300970873786,0.24425281969569168,607,98,140,87
0.6099999999999998,0.75,0.6196988158840254,0.3656387665198238,0.873758865248227,0.48255813953488375,0.41604010025062654,0.23939763176805084,616,89,144,83
0.6199999999999998,0.7521459227467812,0.6121567157184366,0.3392070484581498,0.8851063829787233,0.4873417721518987,0.4,0.2243134314368731,624,81,150,77
0.6299999999999997,0.7564377682403434,0.6090199018964602,0.32158590308370044,0.8964539007092198,0.5,0.3914209115281501,0.21803980379292032,632,73,154,73
0.6399999999999997,0.7585836909871244,0.5984909551035711,0.28634361233480177,0.9106382978723404,0.5078125,0.36619718309859156,0.19698191020714217,642,63,162,65
0.6499999999999997,0.7618025751072961,0.5901646514824882,0.2555066079295154,0.924822695035461,0.5225225225225225,0.3431952662721893,0.1803293029649764,652,53,169,58
0.6599999999999997,0.7660944206008584,0.5870278376605118,0.23788546255506607,0.9361702127659575,0.5454545454545454,0.3312883435582822,0.17405567532102362,660,45,173,54
0.6699999999999997,0.7628755364806867,0.5744462148904927,0.20704845814977973,0.9418439716312057,0.5340909090909091,0.2984126984126984,0.1488924297809855,664,41,180,47
0.6799999999999997,0.7660944206008584,0.5720936045240104,0.19383259911894274,0.950354609929078,0.5569620253164557,0.2875816993464052,0.14418720904802074,670,35,183,44
0.6899999999999997,0.7660944206008584,0.5661199112694099,0.1762114537444934,0.9560283687943263,0.5633802816901409,0.2684563758389262,0.13223982253881972,674,31,187,40
0.6999999999999996,0.7650214592274678,0.556450151529353,0.14977973568281938,0.9631205673758865,0.5666666666666667,0.23693379790940766,0.11290030305870591,679,26,193,34
0.7099999999999996,0.7628755364806867,0.5505514418720905,0.13656387665198239,0.9645390070921985,0.5535714285714286,0.21908127208480566,0.10110288374418097,680,25,196,31
0.7199999999999996,0.7618025751072961,0.5408816821320336,0.11013215859030837,0.9716312056737588,0.5555555555555556,0.18382352941176472,0.08176336426406716,685,20,202,25
0.7299999999999996,0.7660944206008584,0.5407317149373574,0.1013215859030837,0.9801418439716312,0.6216216216216216,0.17424242424242425,0.08146342987471478,691,14,204,23
0.7399999999999997,0.7671673819742489,0.5399475114818634,0.09691629955947137,0.9829787234042553,0.6470588235294118,0.1685823754789272,0.07989502296372675,693,12,205,22
0.7499999999999997,0.7671673819742489,0.535467241540913,0.08370044052863436,0.9872340425531915,0.6785714285714286,0.14901960784313725,0.07093448308182593,696,9,208,19
0.7599999999999997,0.7650214592274678,0.5265816852563502,0.06167400881057269,0.9914893617021276,0.7,0.11336032388663968,0.05316337051270037,699,6,213,14
0.7699999999999997,0.7639484978540773,0.5213921954572437,0.048458149779735685,0.9943262411347518,0.7333333333333333,0.09090909090909091,0.04278439091448738,701,4,216,11
0.7799999999999997,0.7618025751072961,0.5154934857999812,0.03524229074889868,0.9957446808510638,0.7272727272727273,0.06722689075630252,0.030986971599962443,702,3,219,8
0.7899999999999996,0.7585836909871244,0.5088855562845628,0.022026431718061675,0.9957446808510638,0.625,0.0425531914893617,0.017771112569125558,702,3,222,5
0.7999999999999996,0.7585836909871244,0.5073921329709126,0.01762114537444934,0.9971631205673759,0.6666666666666666,0.034334763948497854,0.014784265941825137,703,2,223,4
0.8099999999999996,0.7564377682403434,0.5029868466273003,0.00881057268722467,0.9971631205673759,0.5,0.017316017316017316,0.0059736932546006205,703,2,225,2
